settlement_date,actual_mw
2025-10-01T00:00:00,28013
2025-10-01T00:30:00,28239
2025-10-01T01:00:00,28154
2025-10-01T01:30:00,27560
2025-10-01T02:00:00,27594
2025-10-01T02:30:00,27347
2025-10-01T03:00:00,26976
2025-10-01T03:30:00,26609
2025-10-01T04:00:00,26686
2025-10-01T04:30:00,27729
2025-10-01T05:00:00,29744
2025-10-01T05:30:00,31662
2025-10-01T06:00:00,33319
2025-10-01T06:30:00,33944
2025-10-01T07:00:00,34541
2025-10-01T07:30:00,34771
2025-10-01T08:00:00,35548
2025-10-01T08:30:00,36205
2025-10-01T09:00:00,36689
2025-10-01T09:30:00,36378
2025-10-01T10:00:00,36084
2025-10-01T10:30:00,36266
2025-10-01T11:00:00,36641
2025-10-01T11:30:00,36712
2025-10-01T12:00:00,36456
2025-10-01T12:30:00,36574
2025-10-01T13:00:00,35627
2025-10-01T13:30:00,35381
2025-10-01T14:00:00,35222
2025-10-01T14:30:00,35670
2025-10-01T15:00:00,37078
2025-10-01T15:30:00,37313
2025-10-01T16:00:00,37846
2025-10-01T16:30:00,37740
2025-10-01T17:00:00,37896
2025-10-01T17:30:00,38363
2025-10-01T18:00:00,38705
2025-10-01T18:30:00,37677
2025-10-01T19:00:00,36522
2025-10-01T19:30:00,35912
2025-10-01T20:00:00,34850
2025-10-01T20:30:00,33758
2025-10-01T21:00:00,31788
2025-10-01T21:30:00,29546
2025-10-01T22:00:00,27875
2025-10-01T22:30:00,26849
2025-10-01T23:00:00,25975
2025-10-01T23:30:00,25647
2025-10-02T00:00:00,25692
2025-10-02T00:30:00,25681
2025-10-02T01:00:00,25259
2025-10-02T01:30:00,24575
2025-10-02T02:00:00,23941
2025-10-02T02:30:00,23099
2025-10-02T03:00:00,22692
2025-10-02T03:30:00,22189
2025-10-02T04:00:00,21724
2025-10-02T04:30:00,21645
2025-10-02T05:00:00,21262
2025-10-02T05:30:00,21713
2025-10-02T06:00:00,23778
2025-10-02T06:30:00,24761
2025-10-02T07:00:00,27750
2025-10-02T07:30:00,28937
2025-10-02T08:00:00,30121
2025-10-02T08:30:00,31516
2025-10-02T09:00:00,32241
2025-10-02T09:30:00,33273
2025-10-02T10:00:00,33587
2025-10-02T10:30:00,34224
2025-10-02T11:00:00,35153
2025-10-02T11:30:00,35306
2025-10-02T12:00:00,35639
2025-10-02T12:30:00,35356
2025-10-02T13:00:00,35097
2025-10-02T13:30:00,35141
2025-10-02T14:00:00,34011
2025-10-02T14:30:00,34415
2025-10-02T15:00:00,35294
2025-10-02T15:30:00,36229
2025-10-02T16:00:00,36449
2025-10-02T16:30:00,36812
2025-10-02T17:00:00,36845
2025-10-02T17:30:00,37548
2025-10-02T18:00:00,37864
2025-10-02T18:30:00,37551
2025-10-02T19:00:00,37707
2025-10-02T19:30:00,36618
2025-10-02T20:00:00,34603
2025-10-02T20:30:00,33521
2025-10-02T21:00:00,32378
2025-10-02T21:30:00,31299
2025-10-02T22:00:00,30418
2025-10-02T22:30:00,29984
2025-10-02T23:00:00,29321
2025-10-02T23:30:00,28963
2025-10-03T00:00:00,28551
2025-10-03T00:30:00,28137
2025-10-03T01:00:00,28060
2025-10-03T01:30:00,27638
2025-10-03T02:00:00,27630
2025-10-03T02:30:00,26786
2025-10-03T03:00:00,25985
2025-10-03T03:30:00,25555
2025-10-03T04:00:00,25841
2025-10-03T04:30:00,26038
2025-10-03T05:00:00,28140
2025-10-03T05:30:00,29128
2025-10-03T06:00:00,30144
2025-10-03T06:30:00,30998
2025-10-03T07:00:00,33017
2025-10-03T07:30:00,33299
2025-10-03T08:00:00,33824
2025-10-03T08:30:00,34013
2025-10-03T09:00:00,34198
2025-10-03T09:30:00,33467
2025-10-03T10:00:00,34093
2025-10-03T10:30:00,34760
2025-10-03T11:00:00,35350
2025-10-03T11:30:00,35140
2025-10-03T12:00:00,35523
2025-10-03T12:30:00,34974
2025-10-03T13:00:00,35540
2025-10-03T13:30:00,36040
2025-10-03T14:00:00,35589
2025-10-03T14:30:00,36115
2025-10-03T15:00:00,36558
2025-10-03T15:30:00,36633
2025-10-03T16:00:00,36640
2025-10-03T16:30:00,36695
2025-10-03T17:00:00,36594
2025-10-03T17:30:00,36059
2025-10-03T18:00:00,35686
2025-10-03T18:30:00,35113
2025-10-03T19:00:00,33953
2025-10-03T19:30:00,32819
2025-10-03T20:00:00,32275
2025-10-03T20:30:00,32338
2025-10-03T21:00:00,30357
2025-10-03T21:30:00,29298
2025-10-03T22:00:00,27964
2025-10-03T22:30:00,27391
2025-10-03T23:00:00,26590
2025-10-03T23:30:00,25963
2025-10-04T00:00:00,25908
2025-10-04T00:30:00,26053
2025-10-04T01:00:00,25709
2025-10-04T01:30:00,25731
2025-10-04T02:00:00,25958
2025-10-04T02:30:00,25973
2025-10-04T03:00:00,25847
2025-10-04T03:30:00,25747
2025-10-04T04:00:00,25699
2025-10-04T04:30:00,25965
2025-10-04T05:00:00,26047
2025-10-04T05:30:00,27081
2025-10-04T06:00:00,28081
2025-10-04T06:30:00,28530
2025-10-04T07:00:00,29344
2025-10-04T07:30:00,30643
2025-10-04T08:00:00,32097
2025-10-04T08:30:00,33134
2025-10-04T09:00:00,33959
2025-10-04T09:30:00,34292
2025-10-04T10:00:00,34056
2025-10-04T10:30:00,34410
2025-10-04T11:00:00,35485
2025-10-04T11:30:00,34731
2025-10-04T12:00:00,35137
2025-10-04T12:30:00,34822
2025-10-04T13:00:00,33752
2025-10-04T13:30:00,33792
2025-10-04T14:00:00,32889
2025-10-04T14:30:00,32896
2025-10-04T15:00:00,33243
2025-10-04T15:30:00,33559
2025-10-04T16:00:00,34056
2025-10-04T16:30:00,33757
2025-10-04T17:00:00,33702
2025-10-04T17:30:00,33993
2025-10-04T18:00:00,34488
2025-10-04T18:30:00,33736
2025-10-04T19:00:00,33045
2025-10-04T19:30:00,32680
2025-10-04T20:00:00,31998
2025-10-04T20:30:00,31182
2025-10-04T21:00:00,29227
2025-10-04T21:30:00,28560
2025-10-04T22:00:00,27929
2025-10-04T22:30:00,27278
2025-10-04T23:00:00,26541
2025-10-04T23:30:00,26482
2025-10-05T00:00:00,26464
2025-10-05T00:30:00,26684
2025-10-05T01:00:00,26754
2025-10-05T01:30:00,26337
2025-10-05T02:00:00,26269
2025-10-05T02:30:00,26167
2025-10-05T03:00:00,26174
2025-10-05T03:30:00,26192
2025-10-05T04:00:00,26293
2025-10-05T04:30:00,26406
2025-10-05T05:00:00,26561
2025-10-05T05:30:00,26932
2025-10-05T06:00:00,27694
2025-10-05T06:30:00,28642
2025-10-05T07:00:00,30609
2025-10-05T07:30:00,31906
2025-10-05T08:00:00,32813
2025-10-05T08:30:00,34279
2025-10-05T09:00:00,35382
2025-10-05T09:30:00,35938
2025-10-05T10:00:00,36279
2025-10-05T10:30:00,36585
2025-10-05T11:00:00,37131
2025-10-05T11:30:00,36195
2025-10-05T12:00:00,36915
2025-10-05T12:30:00,36158
2025-10-05T13:00:00,35026
2025-10-05T13:30:00,34763
2025-10-05T14:00:00,34132
2025-10-05T14:30:00,33440
2025-10-05T15:00:00,35134
2025-10-05T15:30:00,34919
2025-10-05T16:00:00,35844
2025-10-05T16:30:00,35905
2025-10-05T17:00:00,35197
2025-10-05T17:30:00,35572
2025-10-05T18:00:00,35228
2025-10-05T18:30:00,34473
2025-10-05T19:00:00,33529
2025-10-05T19:30:00,32641
2025-10-05T20:00:00,31618
2025-10-05T20:30:00,31216
2025-10-05T21:00:00,28855
2025-10-05T21:30:00,28231
2025-10-05T22:00:00,26661
2025-10-05T22:30:00,26271
2025-10-05T23:00:00,26186
2025-10-05T23:30:00,26273
2025-10-06T00:00:00,25834
2025-10-06T00:30:00,25612
2025-10-06T01:00:00,25697
2025-10-06T01:30:00,25529
2025-10-06T02:00:00,24868
2025-10-06T02:30:00,24972
2025-10-06T03:00:00,24660
2025-10-06T03:30:00,24841
2025-10-06T04:00:00,25389
2025-10-06T04:30:00,25935
2025-10-06T05:00:00,27590
2025-10-06T05:30:00,28740
2025-10-06T06:00:00,30244
2025-10-06T06:30:00,31684
2025-10-06T07:00:00,34085
2025-10-06T07:30:00,35378
2025-10-06T08:00:00,36568
2025-10-06T08:30:00,36584
2025-10-06T09:00:00,37117
2025-10-06T09:30:00,37079
2025-10-06T10:00:00,36761
2025-10-06T10:30:00,37369
2025-10-06T11:00:00,37540
2025-10-06T11:30:00,37580
2025-10-06T12:00:00,37932
2025-10-06T12:30:00,37453
2025-10-06T13:00:00,37352
2025-10-06T13:30:00,36663
2025-10-06T14:00:00,36851
2025-10-06T14:30:00,36697
2025-10-06T15:00:00,35865
2025-10-06T15:30:00,35776
2025-10-06T16:00:00,35532
2025-10-06T16:30:00,35293
2025-10-06T17:00:00,36098
2025-10-06T17:30:00,36596
2025-10-06T18:00:00,36897
2025-10-06T18:30:00,36160
2025-10-06T19:00:00,35625
2025-10-06T19:30:00,34813
2025-10-06T20:00:00,33630
2025-10-06T20:30:00,32233
2025-10-06T21:00:00,30720
2025-10-06T21:30:00,29017
2025-10-06T22:00:00,28105
2025-10-06T22:30:00,27230
2025-10-06T23:00:00,26916
2025-10-06T23:30:00,26819
2025-10-07T00:00:00,26745
2025-10-07T00:30:00,26953
2025-10-07T01:00:00,27399
2025-10-07T01:30:00,27424
2025-10-07T02:00:00,26900
2025-10-07T02:30:00,26592
2025-10-07T03:00:00,26532
2025-10-07T03:30:00,26457
2025-10-07T04:00:00,26353
2025-10-07T04:30:00,27946
2025-10-07T05:00:00,30882
2025-10-07T05:30:00,33078
2025-10-07T06:00:00,34713
2025-10-07T06:30:00,35837
2025-10-07T07:00:00,36570
2025-10-07T07:30:00,37285
2025-10-07T08:00:00,38106
2025-10-07T08:30:00,38166
2025-10-07T09:00:00,37758
2025-10-07T09:30:00,37698
2025-10-07T10:00:00,38313
2025-10-07T10:30:00,38512
2025-10-07T11:00:00,38672
2025-10-07T11:30:00,38781
2025-10-07T12:00:00,38465
2025-10-07T12:30:00,37849
2025-10-07T13:00:00,37745
2025-10-07T13:30:00,37274
2025-10-07T14:00:00,37512
2025-10-07T14:30:00,37154
2025-10-07T15:00:00,36076
2025-10-07T15:30:00,36246
2025-10-07T16:00:00,36414
2025-10-07T16:30:00,36409
2025-10-07T17:00:00,35565
2025-10-07T17:30:00,35508
2025-10-07T18:00:00,36359
2025-10-07T18:30:00,36136
2025-10-07T19:00:00,35913
2025-10-07T19:30:00,35530
2025-10-07T20:00:00,34596
2025-10-07T20:30:00,33409
2025-10-07T21:00:00,32074
2025-10-07T21:30:00,30738
2025-10-07T22:00:00,28204
2025-10-07T22:30:00,27263
2025-10-07T23:00:00,27473
2025-10-07T23:30:00,27478
2025-10-08T00:00:00,27351
2025-10-08T00:30:00,27326
2025-10-08T01:00:00,26894
2025-10-08T01:30:00,26655
2025-10-08T02:00:00,26854
2025-10-08T02:30:00,26478
2025-10-08T03:00:00,26523
2025-10-08T03:30:00,26403
2025-10-08T04:00:00,26583
2025-10-08T04:30:00,27832
